date,league,homeTeam,awayTeam,homeOdds,drawOdds,awayOdds
2026-05-13,EPL,Man City,Crystal Palace,,,
2026-05-17,EPL,Man United,Nott'm Forest,,,
2026-05-19,EPL,Bournemouth,Man City,,,
2026-05-19,EPL,Chelsea,Tottenham,,,
2026-05-24,EPL,Brighton,Man United,,,
2026-05-24,EPL,Man City,Aston Villa,,,
2026-05-24,EPL,Sunderland,Chelsea,,,
2026-05-13,La Liga,Alaves,Barcelona,,,
2026-05-14,La Liga,Real Madrid,Oviedo,,,
2026-05-17,La Liga,Barcelona,Betis,,,
2026-05-17,La Liga,Sevilla,Real Madrid,,,
2026-05-24,La Liga,Valencia,Barcelona,,,
2026-05-24,La Liga,Real Madrid,Ath Bilbao,,,
2026-05-16,Bundesliga,Bayern Munich,FC Koln,,,
2026-05-13,Ligue 1,Lens,Paris SG,,,
2026-05-17,Ligue 1,Paris FC,Paris SG,,,
